location,distance(kpc),SMA(au),eccentricity,m1/m_sun,m2/m_sun,SNR
ngc362_ejected,8.0,0.078266137,0.59346992,12.258291,12.790494,0.154589343
ngc6341_ejected,8.0,0.078266137,0.59346992,12.258291,12.790494,0.154589343
ngc4833_ejected,5.7,0.183939756,0.779521325,16.558611,19.529088,0.14671035
ngc6266_ejected,6.6,0.196629208,0.793668126,18.60969,19.728788,0.146465721
ngc6638_ejected,7.8,0.080780654,0.483943257,16.815245,16.708596,0.143180499
IC1276_ejected,8.9,0.206437482,0.847811849,17.685099,13.905479,0.142986852
ngc3201_ejected,4.9,0.132877775,0.694292854,15.048701,16.469914,0.141931425
ngc104_ejected,4.1,0.086563547,0.395400705,18.025703,18.303755,0.141867782
ngc5139_ejected,4.9,0.14751494,0.550209018,20.132247,38.895049,0.136131882
ngc6205_ejected,6.8,0.086816256,0.558551216,14.917099,14.064978,0.13422581
ngc6139_ejected,9.1,0.079952489,0.620075632,11.549954,11.999154,0.130501864
ngc6144_ejected,9.8,0.206437482,0.847811849,17.685099,13.905479,0.129855406
ngc6397_ejected,2.2,0.123923737,0.443161868,15.628539,29.635053,0.128115249
ngc6715_ejected,25.4,0.048202198,0.24988947,17.51164,17.56878,0.126247291
Liller1_ejected,10.2,0.071130364,0.732799373,7.9411723,5.9094652,0.125943167
ngc6517_ejected,10.1,0.079952489,0.620075632,11.549954,11.999154,0.117580887
ngc5139_ejected,4.9,0.554896472,0.936079733,17.604329,17.532804,0.112871235
ngc6171_ejected,6.0,0.095743459,0.564003797,16.60177,13.23256,0.111351774
ngc5286_ejected,11.3,0.078266137,0.59346992,12.258291,12.790494,0.109443783
ngc6316_ejected,10.9,0.079952489,0.620075632,11.549954,11.999154,0.108951097
ngc2808_ejected,8.9,0.196629208,0.793668126,18.60969,19.728788,0.108615029
ngc6121_ejected,2.1,0.486895277,0.872042232,16.721352,35.396912,0.107516215
ngc6441_ejected,9.2,0.196629208,0.793668126,18.60969,19.728788,0.105073235
ngc5139_ejected,4.9,0.088829622,0.199130594,23.776905,27.079231,0.104972162
